id_объекта,истинный_класс,разметчик,prob_Машина,prob_Пешеход,prob_Светофор,prob_Знак,prob_Автобус,prob_Грузовик,prob_Велосипед,prob_Мотоцикл,prob_Самокат,prob_Енот
extreme_00000.jpg,Светофор,AutoLabel,0.0383,0.0311,0.7526,0.0167,0.031,0.0219,0.0413,0.0133,0.0344,0.0193
extreme_00001.jpg,Машина,Intern_Vasya,0.7574,0.0171,0.0299,0.0285,0.0416,0.0415,0.0463,0.0103,0.0114,0.0159
extreme_00002.jpg,Велосипед,AutoLabel,0.0094,0.019,0.0308,0.0119,0.0232,0.0103,0.0097,0.0427,0.0135,0.8294
extreme_00003.jpg,Пешеход,AutoLabel,0.0314,0.7935,0.0225,0.0152,0.0289,0.0167,0.012,0.0241,0.0421,0.0135
extreme_00004.jpg,Знак,AutoLabel,0.0424,0.0148,0.0377,0.0433,0.7236,0.0432,0.0312,0.0093,0.0293,0.0252
extreme_00005.jpg,Машина,Expert_Bob,0.7625,0.0226,0.0212,0.0206,0.0368,0.0381,0.0355,0.0191,0.0178,0.0258
extreme_00006.jpg,Пешеход,Expert_Bob,0.0184,0.0274,0.0144,0.0108,0.0207,0.0317,0.8055,0.0316,0.0109,0.0285
extreme_00007.jpg,Машина,Expert_Bob,0.1096,0.1098,0.1031,0.0947,0.1118,0.0859,0.0913,0.0864,0.093,0.1144
extreme_00008.jpg,Пешеход,Expert_Bob,0.0225,0.7458,0.0312,0.0277,0.0295,0.0398,0.0147,0.0211,0.0248,0.043
extreme_00009.jpg,Знак,Intern_Vasya,0.0135,0.0125,0.0355,0.8118,0.0097,0.0188,0.0331,0.0152,0.0136,0.0363
extreme_00010.jpg,Машина,AutoLabel,ERROR,0.0383,0.0113,0.0238,0.0225,0.028,0.0256,0.0209,0.0154,0.0463
extreme_00011.jpg,Пешеход,Intern_Vasya,ERROR,0.8287,0.0337,0.0154,0.0129,0.0115,0.0301,0.0194,0.0187,0.0119
extreme_00012.jpg,Знак,Intern_Vasya,ERROR,0.0983,0.1054,0.0842,0.0888,0.091,0.1146,0.1099,0.0976,0.0934
extreme_00013.jpg,Автобус,Intern_Vasya,ERROR,0.7515,0.0384,0.0177,0.0338,0.0204,0.0383,0.0337,0.0082,0.0319
extreme_00014.jpg,Пешеход,Expert_Bob,ERROR,0.7739,0.0187,0.0371,0.0166,0.0283,0.0229,0.0144,0.0346,0.0387
extreme_00015.jpg,Пешеход,Intern_Vasya,ERROR,0.0837,0.0945,0.0968,0.1156,0.0858,0.1161,0.1175,0.1108,0.0905
extreme_00016.jpg,Машина,AutoLabel,0.7589,0.0184,0.0135,0.0231,0.038,0.0374,0.0184,0.0402,0.0213,0.0307
extreme_00017.jpg,Светофор,AutoLabel,0.0148,0.0119,0.7726,0.0316,0.0156,0.0415,0.0383,0.0359,0.0248,0.0129
extreme_00018.jpg,Машина,AutoLabel,0.0822,0.0993,0.1122,0.1118,0.1148,0.0893,0.0876,0.0872,0.1153,0.1003
extreme_00019.jpg,Пешеход,Expert_Bob,0.0342,0.7325,0.0365,0.0169,0.042,0.0161,0.0257,0.0443,0.0392,0.0126
extreme_00020.jpg,Самокат,Expert_Bob,0.021,0.0375,0.0332,0.0103,0.0181,0.7635,0.0304,0.0395,0.0273,0.0191
extreme_00021.jpg,Пешеход,Intern_Vasya,0.021,0.7675,0.0197,0.0249,0.0143,0.044,0.0347,0.0221,0.0361,0.0158
extreme_00022.jpg,Автобус,AutoLabel,0.0284,0.0159,0.0396,0.0352,0.023,0.0132,0.0135,0.7636,0.0338,0.0338
extreme_00023.jpg,Светофор,Expert_Bob,0.1192,0.0828,0.0942,0.1192,0.1032,0.0884,0.092,0.1076,0.0855,0.1079
extreme_00024.jpg,Машина,AutoLabel,0.1186,0.0988,0.0817,0.1194,0.1104,0.084,0.0962,0.0916,0.1056,0.0938
extreme_00025.jpg,Пешеход,Intern_Vasya,0.0287,0.7867,0.0193,0.0195,0.0376,0.0409,0.0176,0.0199,0.0166,0.0132
extreme_00026.jpg,Енот,Expert_Bob,0.0245,0.0409,0.0097,0.0221,0.0111,0.021,0.0097,0.818,0.0242,0.0188
extreme_00027.jpg,Пешеход,Intern_Vasya,0.0233,0.7783,0.0358,0.0195,0.0118,0.0232,0.0423,0.0326,0.016,0.0171
extreme_00028.jpg,Пешеход,Intern_Vasya,0.0422,0.769,0.0237,0.0314,0.0222,0.0133,0.0148,0.0266,0.0323,0.0246
extreme_00029.jpg,Машина,Intern_Vasya,0.8134,0.0177,0.0093,0.0248,0.0161,0.0174,0.0372,0.0106,0.0145,0.0391
extreme_00030.jpg,Машина,AutoLabel,0.0939,0.1129,0.101,0.096,0.1068,0.1082,0.0784,0.1053,0.1061,0.0914
extreme_00031.jpg,Пешеход,Expert_Bob,0.0976,0.0849,0.1026,0.1026,0.1152,0.1019,0.0962,0.0859,0.1107,0.1025
extreme_00032.jpg,Машина,Intern_Vasya,0.8131,0.0175,0.0131,0.0299,0.0155,0.0207,0.0101,0.0205,0.0284,0.0312
extreme_00033.jpg,Автобус,Expert_Bob,0.0366,0.0414,0.0346,0.0323,0.7274,0.0142,0.037,0.0088,0.0428,0.0249
extreme_00034.jpg,Машина,Intern_Vasya,0.1151,0.0969,0.1125,0.103,0.0824,0.0825,0.1098,0.0994,0.0907,0.1075
extreme_00035.jpg,Светофор,Intern_Vasya,0.0156,0.0305,0.01,0.7715,0.0421,0.0276,0.0246,0.0348,0.02,0.0232
extreme_00036.jpg,Машина,Expert_Bob,0.0097,0.0213,0.0321,0.0318,0.0282,0.0243,0.0271,0.0316,0.0315,0.7624
extreme_00037.jpg,Пешеход,Intern_Vasya,0.0887,0.0992,0.0956,0.0872,0.0878,0.0862,0.1153,0.1211,0.122,0.0967
extreme_00038.jpg,Пешеход,AutoLabel,0.0125,0.0334,0.0164,0.0215,0.0256,0.0155,0.8144,0.0292,0.0217,0.0097
extreme_00039.jpg,Пешеход,Expert_Bob,0.0827,0.1003,0.1066,0.0893,0.1041,0.0873,0.1125,0.1119,0.1011,0.104
extreme_00040.jpg,Машина,Intern_Vasya,0.0332,0.021,0.0207,0.0283,0.7597,0.0225,0.0384,0.0177,0.0432,0.0154
extreme_00041.jpg,Пешеход,Intern_Vasya,0.0093,0.8286,0.0094,0.0201,0.0251,0.0199,0.0155,0.0147,0.0405,0.0169
extreme_00042.jpg,Пешеход,Intern_Vasya,0.0192,0.7696,0.0285,0.0177,0.0367,0.0316,0.0364,0.0331,0.0121,0.0152
extreme_00043.jpg,Пешеход,AutoLabel,0.0179,0.0368,0.0297,0.016,0.0181,0.0294,0.0369,0.0249,0.0312,0.7592
extreme_00044.jpg,Автобус,Expert_Bob,0.1034,0.0993,0.1099,0.1012,0.1101,0.0855,0.1134,0.1129,0.0842,0.0803
extreme_00045.jpg,Машина,AutoLabel,0.1187,0.0961,0.0956,0.0977,0.1201,0.0953,0.1138,0.0895,0.0875,0.0856
extreme_00046.jpg,Светофор,Intern_Vasya,0.019,0.0104,0.0142,0.7829,0.033,0.0382,0.0182,0.0244,0.022,0.0377
extreme_00047.jpg,Грузовик,Expert_Bob,0.0282,0.0368,0.0194,0.0393,0.0149,0.0175,0.0205,0.0411,0.7618,0.0205
extreme_00048.jpg,Машина,Expert_Bob,0.0271,0.0264,0.0434,0.0117,0.7823,0.0162,0.0179,0.0102,0.0293,0.0354
extreme_00049.jpg,Машина,Expert_Bob,0.7743,0.0132,0.0321,0.0217,0.0339,0.0117,0.0249,0.0437,0.0261,0.0184
extreme_00050.jpg,Грузовик,AutoLabel,0.0278,0.0225,0.0247,0.0369,0.0114,0.7934,0.0222,0.0233,0.0111,0.0265
extreme_00051.jpg,Светофор,Expert_Bob,0.0351,0.0242,0.7897,0.0146,0.0231,0.011,0.034,0.0248,0.0146,0.0288
extreme_00052.jpg,Машина,Expert_Bob,0.0263,0.7591,0.0286,0.0207,0.0144,0.0457,0.0338,0.0221,0.0094,0.04
extreme_00053.jpg,Машина,AutoLabel,0.1159,0.1172,0.1025,0.0829,0.0989,0.1112,0.0956,0.0851,0.0961,0.0946
extreme_00054.jpg,Машина,Expert_Bob,0.7891,0.0249,0.0132,0.0093,0.0128,0.0226,0.0409,0.0336,0.021,0.0325
extreme_00055.jpg,Машина,AutoLabel,0.1026,0.1184,0.1026,0.0954,0.0895,0.1057,0.0965,0.1046,0.0919,0.0927
extreme_00056.jpg,Машина,Intern_Vasya,0.7737,0.0206,0.0099,0.0369,0.0168,0.0466,0.0206,0.0122,0.0165,0.0461
extreme_00057.jpg,Машина,Intern_Vasya,0.0228,0.0387,0.0349,0.0367,0.0265,0.0113,0.0274,0.7381,0.0374,0.0263
extreme_00058.jpg,Машина,Intern_Vasya,0.7362,0.0261,0.0123,0.0331,0.0397,0.0405,0.0277,0.0282,0.0292,0.0269
extreme_00059.jpg,Машина,Expert_Bob,0.7461,0.0128,0.0329,0.0374,0.0323,0.0346,0.0319,0.0247,0.0322,0.0152
extreme_00060.jpg,Знак,AutoLabel,0.1126,0.1101,0.1129,0.0917,0.0819,0.1067,0.097,0.1072,0.0946,0.0853
extreme_00061.jpg,Пешеход,Intern_Vasya,0.1104,0.083,0.1081,0.1161,0.1165,0.0831,0.0957,0.1099,0.0919,0.0852
extreme_00062.jpg,Машина,AutoLabel,0.0199,0.8001,0.031,0.0189,0.0142,0.0302,0.0113,0.0111,0.035,0.0282
extreme_00063.jpg,Знак,Expert_Bob,0.0318,0.0174,0.0227,0.0343,0.0287,0.0202,0.7637,0.0227,0.0308,0.0277
extreme_00064.jpg,Машина,Expert_Bob,0.0793,0.1156,0.1125,0.1033,0.1116,0.1151,0.0924,0.0798,0.1011,0.0892
extreme_00065.jpg,Машина,Expert_Bob,0.7182,0.0339,0.0323,0.041,0.0263,0.0268,0.029,0.0235,0.0377,0.0314
extreme_00066.jpg,Автобус,Intern_Vasya,0.0288,0.0277,0.0418,0.0323,0.0424,0.0244,0.039,0.0146,0.0325,0.7166
extreme_00067.jpg,Знак,Intern_Vasya,0.0912,0.1205,0.0918,0.1108,0.101,0.1038,0.1008,0.0945,0.0961,0.0895
extreme_00068.jpg,Светофор,AutoLabel,0.0904,0.1077,0.0887,0.1023,0.0983,0.1175,0.1152,0.0888,0.1032,0.0878
extreme_00069.jpg,Знак,AutoLabel,0.0908,0.0985,0.0846,0.1076,0.1077,0.0878,0.1105,0.1131,0.0922,0.1073
extreme_00070.jpg,Светофор,AutoLabel,0.0202,0.035,0.0197,0.0178,0.0149,0.8045,0.0106,0.0213,0.0262,0.0299
extreme_00071.jpg,Машина,AutoLabel,0.7859,0.0146,0.0253,0.0392,0.0191,0.017,0.0272,0.0164,0.0323,0.0231
extreme_00072.jpg,Машина,Expert_Bob,0.7879,0.0213,0.0156,0.0332,0.0155,0.0095,0.0195,0.0317,0.0256,0.0401
extreme_00073.jpg,Знак,Expert_Bob,0.0328,0.0224,0.03,0.7364,0.0154,0.0417,0.0335,0.0351,0.0089,0.0437
extreme_00074.jpg,Светофор,AutoLabel,0.0999,0.0976,0.0912,0.1074,0.111,0.0933,0.1067,0.1056,0.104,0.0835
extreme_00075.jpg,Пешеход,Expert_Bob,0.0384,0.8039,0.0135,0.0124,0.0358,0.0344,0.0113,0.0273,0.0122,0.0108
extreme_00076.jpg,Машина,Intern_Vasya,0.077,0.1059,0.0805,0.0958,0.1128,0.0898,0.1128,0.1048,0.1099,0.1107
