id_объекта,истинный_класс,prob_Собака,prob_Кошка,prob_Мышь,разрешение,разметчик,неуверенность,энтропия
img_0000.jpg,Кошка,0.0423,0.8843,0.0734,800x600,Expert_Anna,0.1157,0.6265
img_0001.jpg,Собака,0.3333,0.3445,0.3222,640x480,Intern_Vasya,0.6555,1.5844
img_0002.jpg,Кошка,0.0911,0.8326,0.0764,800x600,Expert_Anna,0.1674,0.8184
img_0003.jpg,Собака,0.8798,0.0895,0.0307,640x480,Intern_Vasya,0.1202,0.6285
img_0004.jpg,Собака,0.9031,0.0383,0.0586,640x480,Intern_Vasya,0.0969,0.5529
img_0005.jpg,Кошка,0.0396,0.9357,0.0247,640x480,Expert_Bob,0.0643,0.4061
img_0006.jpg,Кошка,0.0447,0.8714,0.0839,1920x1080,Intern_Vasya,0.1286,0.6734
img_0007.jpg,Собака,0.922,0.0638,0.0143,1920x1080,Expert_Bob,0.078,0.449
img_0008.jpg,Собака,0.8984,0.0145,0.0871,800x600,Expert_Bob,0.1016,0.5341
img_0009.jpg,Кошка,0.0788,0.0356,0.8856,640x480,Expert_Bob,0.1144,0.6154
img_0010.jpg,Кошка,0.0566,0.0239,0.9195,800x600,Expert_Anna,0.0805,0.4746
img_0011.jpg,Кошка,0.0933,0.0338,0.8729,640x480,Expert_Bob,0.1271,0.6556
img_0012.jpg,Кошка,0.3405,0.3534,0.3061,1920x1080,Intern_Vasya,0.6466,1.5823
img_0013.jpg,Собака,0.8477,0.0697,0.0826,1920x1080,Expert_Anna,0.1523,0.7671
img_0014.jpg,Кошка,0.0694,0.911,0.0195,800x600,Intern_Vasya,0.089,0.5004
img_0015.jpg,Кошка,0.0155,0.9352,0.0494,800x600,Expert_Anna,2.0648,0.3979
img_0016.jpg,Кошка,0.3641,0.3268,0.3091,640x480,Intern_Vasya,0.6359,1.5816
img_0017.jpg,Собака,0.3347,0.3045,0.3607,640x480,Intern_Vasya,0.6393,1.5815
img_0018.jpg,Собака,0.8245,0.0973,0.0782,800x600,Intern_Vasya,0.1755,0.8441
img_0019.jpg,Кошка,0.0103,0.9177,0.072,800x600,Expert_Anna,0.0823,0.455
img_0020.jpg,Собака,0.9331,0.0189,0.048,800x600,Expert_Bob,0.0669,0.4117
img_0021.jpg,Собака,0.8847,0.072,0.0433,640x480,Intern_Vasya,0.1153,0.6258
img_0022.jpg,Собака,0.3153,0.3269,0.3578,800x600,Intern_Vasya,0.6422,1.5829
img_0023.jpg,Собака,0.8525,0.0931,0.0544,1920x1080,Intern_Vasya,0.1475,0.7436
img_0024.jpg,Кошка,0.0686,0.8754,0.056,640x480,Expert_Bob,0.1246,0.6661
img_0025.jpg,Кошка,0.06,0.8866,0.0534,1920x1080,Expert_Anna,0.1134,0.6232
img_0026.jpg,Кошка,0.0208,0.9081,0.0711,1920x1080,Expert_Anna,0.0919,0.5137
img_0027.jpg,Собака,0.8761,0.0915,0.0324,640x480,Expert_Bob,0.1239,0.6432
